uuid,fid2,land_type2,issue_year2
2b4520d2-4010-45a5-8dd5-218b128fec39,33597,100,2022
50b8bef5-7342-4f40-80d5-3cf8e8c7e860,7860,100,2022
f510003f-e5b3-4f48-bcfe-b872254c02ee,43567,100,2022
fe3944d6-16e9-41de-94d6-78a546a58ca4,8717,100,2022
aa6fc317-7f81-4544-84d4-72c9708a2511,8616,100,2022
ddcbb2b1-80a1-41db-a0dd-80010871f4b1,44092,100,2022
b646b982-e527-46ee-b2b1-c31eedb4a1aa,7454,100,2022
cdaac272-ff5e-4ef5-b9ea-1ce98cb3cf0b,7544,100,2022
d5f1aea0-c96f-46fa-a263-1d435c7c47cc,44090,100,2022
ffac15e7-225a-420b-a9d5-d08db7137e79,8164,100,2022
2c7ed8e0-a4c1-492c-a394-c0bc9070fdff,44519,100,2022
e79d5e50-ba04-4d9c-8752-5a3b506c3e9b,44403,100,2022
65458636-83d4-4ff6-9b47-c4193d5bcb4f,44002,100,2022
266a4e53-a535-49b6-a3cf-748461b9423c,7676,100,2022
58d388cd-742c-49fc-84b9-489b0c7ad279,43830,100,2022
caea47d2-c5b9-4178-b0cf-0ba7bef16fa7,44562,100,2022
47e81047-c691-44a5-b2c8-f1266b8b3c8d,9045,100,2022
58942b58-5dfc-4308-ba8f-65aed6b7cf54,7347,100,2022
45479a5a-220e-4b7a-bc81-4ffad403600a,32910,100,2022
c7960772-50c1-4403-9a8d-a426e4c1855f,8276,100,2022
3ebfc1e9-9b18-40a5-9a42-18c81d66a8fc,40158,100,2022
0c6987b3-4f65-447a-a339-6e1fc53d42e7,8536,100,2022
b185bc3b-9f80-429a-a741-fec762413b09,7940,100,2022
2f4f183b-62c7-41b2-bc69-5cdb437ddcbc,40505,100,2022
6116ea2e-baed-446e-9625-047d5b9ee60c,44508,100,2022
917cefd6-f94f-4286-a965-f29c4cdf95ce,32507,100,2022
d7be56c0-87e0-4c92-8026-6f1298d3916d,7883,100,2022
8bf07909-9135-45b7-856b-3022eda2d5a3,8052,100,2022
5455694b-dbb5-4576-a1e4-d87ad3642f70,43657,200,2022
957c8481-9d7e-441c-9320-271e3568628f,32399,100,2022
a63c70a5-608d-4a9a-a24a-a22740c0e8ee,32646,100,2022
73f49451-7582-444e-aa49-42906209b94d,33076,100,2022
9d0f8256-6f09-4a3d-8f9e-a4c807077a17,33792,100,2022
d39ce30a-3cbb-458a-9053-50b2908a41b0,8165,200,2022
a357a71d-0e8b-400e-8332-8732020ef0d0,33644,200,2022
b1242f7e-fa5e-4460-9e2a-79ef7b856d5a,8949,200,2022
bd4bd9ea-d1eb-4b23-a19d-5d7da5f7e56a,7549,200,2022
d61c073c-2875-4966-8589-e7bdaa5df3cb,43529,200,2022
bf207113-3465-488d-b69f-bf5171595d4d,43842,200,2022
2aada21a-5e33-41b1-afa9-e622d62c00f3,44389,100,2022
a5935cef-d929-4c91-8466-f5332f174db0,44532,200,2022
070e5346-8c83-4b0d-9969-2c9728b5937c,44201,200,2022
f01f0643-4fd7-4ba4-8234-b0848bf0ea54,7576,200,2022
7875c922-bc7e-4c22-8c74-d5ff3dca886f,32858,200,2022
5970b920-8aa0-4f7a-8059-e865b1269b1e,44022,100,2022
800462d2-76ba-4e9c-94f4-9ba55e79df17,7341,100,2022
dcf7459c-02d1-4f5e-83b7-c66998dac81e,43652,100,2022
77dac98f-8d00-4cd4-b3cc-90037b638fbe,43649,100,2022
bf9a4e05-e36f-4fc7-acfa-9c42ab277547,8118,200,2022
f621fa24-c178-4890-9280-f03842432adb,9036,100,2022
db627770-5f28-42ee-9630-0022ec6afc25,8829,100,2022
867d65e1-09bd-4f07-8e00-b3da66392794,7917,100,2022
288b3aef-4c12-446b-9cd5-ab4de0ac9164,43537,100,2022
2c063c4a-a353-4d42-b52c-f8e6b909ba90,7739,100,2022
f836af98-c841-49e2-829f-87b3b675347a,43901,100,2022
89382aba-46cd-4ef9-b8cc-42ca6ca78b80,8025,100,2022
672fb9a4-e579-4e82-8eb8-c93b82cbda13,44574,200,2022
6a97684a-cdd7-4fe0-bde1-7fa9fd2e41a7,44250,100,2022
4c4fc2ef-dda7-4a42-b529-28ea5c2f0500,44529,100,2022
67ffa85e-33d1-4cf8-8553-9dbaa2c4d905,33866,200,2022
7e2ea554-2a22-4978-a2c9-b527f6dd6af2,33274,100,2022
e2e7d804-ecfc-4d5a-8f60-c85ca4f792ed,34057,100,2022
e87252c8-6636-48c0-8db7-af374dc647a3,8990,100,2022
4582501f-b434-4136-84d9-8e5e62e98fd2,44146,100,2022
9f716d9b-4486-495b-8822-e8f588e34354,44161,100,2022
c5c151a4-c3f0-4ecc-a774-5096235669d7,7514,200,2022
74f593b2-6e06-49cf-a7d2-f1f26c8f5416,44552,100,2022
40d4fbdf-29a7-4fe1-9f1f-d87e6368e2bb,44300,100,2022
efb6ef16-d5ec-432d-b958-5648aea27a4b,8786,200,2022
7e711ec3-fd14-4085-b782-8a074b47a676,32391,100,2022
63d09ca6-5633-4ea1-a671-a9a5246dac7b,8027,100,2022
3c4e7a70-9024-4986-9c92-8e59336e8e43,32856,100,2022
25f8429c-b7e2-42b2-9e65-b5f81278c7e9,44302,100,2022
b84390de-e24b-4a21-830b-984ee6ad7f5f,44184,100,2022
f865696c-b9a1-4c77-b56a-02ac070a8f28,44314,100,2022
5f7cf4a0-5b9e-4782-b834-8ef7412b555e,39846,100,2022
caffd523-3196-4872-b052-4aabdd8917ec,34124,100,2022
3dd81eef-98ff-42b7-9b6d-5420e23555cb,7343,100,2022
7238933e-ab69-4569-8f8c-ac5803f748c7,40262,100,2022
81a70d1a-fe48-469a-83be-52b0d33ea25f,32397,100,2022
4177b3c5-044d-4681-a4d6-73fd40b695ce,8185,100,2022
7ef1a152-e9e5-4990-b211-d831aad3b514,32445,100,2022
